id,reasoning,brand,car_model,imputed_year,imputed_mileage_km,imputed_condition,battery_status,is_accident_free,has_aftermarket_mods
0,"Màu đen lịch lãm, bản Plus full option, vận hành êm ái, pin khỏe",,,,,Đã qua sử dụng,Mua pin,,True
1,"2026, mới 100%",,VF8 Eco,2026,0,Mới 100%,Mua pin,,True
2,"Màu đen lịch lãm – càng nhìn càng sang, Bản Plus full option, Vận hành êm ái, pin khỏe",,VF8 Plus AWD,2023,0,Mới 100%,,,True
3,"giảm 70 triệu khi đổi xăng sang điện, tặng 50 triệu tiền mặt, miễn phí bảo hiểm thân vỏ, không đâm đụng, không ngập nước, không bổ máy, không cẩu máy",,VF8 Eco AWD,2023,0,Mới 100%,,True,False
4,hàng mới về,VinFast,VF5 Plus,2024,45000,Đã qua sử dụng,Mua pin,,False
5,VF8 S - CATL - Đỏ/Đen - odo 9.968km,,,,9968,Đã qua sử dụng,Pin CATL,,False
6,"Xe đẹp, tình trạng tốt",VinFast,VF8 Eco,2023,48950,Đã qua sử dụng,,True,False
7,"Giảm thêm 4% khi xuất hoá đơn đến hết 2025, giảm thêm 3% cho Cán bộ, Chiến sĩ – Công an – Quân đội",,,,,Đã qua sử dụng,,,False
8,"thuần điện, sản xuất 2023, lăn bánh 2.680 mile",Mercedes-Benz,EQS 450 Plus,2023,4000,Đã qua sử dụng,Mua pin,,False
9,KHÔNG MUA LÀ PHÍ! | VF8 ECO 2023 – CHẠY HƠN 4 VẠN – ĐẸP LOẠI 1,VinFast,VF8 Eco,2023,40000,Đã qua sử dụng,,True,False
10,"MÀU ĐỎ,TRẺ lịch lãm – càng nhìn càng sang",,VF8 Plus AWD,2023,47000,Đã qua sử dụng,,True,True
11,"VinFast VF8 Plus AWD, kích thước tổng thể, chiều dài cơ sở, trang bị như bộ mâm, tay nắm cửa, gương chiếu hậu tích hợp sấy và camera, thông tin hiển thị trên HUD, điều hòa tự động, cửa gió điều hòa cho hàng ghế sau, bơm nhiệt, chức năng kiểm soát chất lượng không khí, lọc không khí cabin HEPA 1.0",,VF8 Plus AWD,2026,0,Mới 100%,,,True
12,"đồng thời trắng ngọc trai, nội thất nâu sang trọng",,VF8 Plus AWD,2023,0,Mới 100%,,,True
13,"xe thật ,ảnh thật, giá chuẩn",,VF8 Plus AWD,2023,0,Mới 100%,,,True
14,giao NGAY - BÁN TOÀN QUỐC | + Tặng sạc miễn phí đến 30/6/2027 | + Miễn 100% lệ phí trước bạ,,VF3 Plus,,,Đã qua sử dụng,,,False
15,"đẹp không lỗi, chạy mượt, pin khỏe",VinFast,VF8 Eco AWD,2023,64000,Đã qua sử dụng,Mua pin,True,True
16,đổi xe xăng sang xe điện giảm trực tiếp tiền mặt,,VF8 Plus AWD,2023,47000,Đã qua sử dụng,Mua pin,,False
17,Bán Vinfast VF6 Plus | Sản xuất: 2025 | Odo: 20.000km,VinFast,VF6 Plus,2025,20000,Đã qua sử dụng,,,False
18,- Xe đã chạy 10v8 - Đã bảo hành thay động cơ mới cuối năm 2025 - Đã bảo hành thay pin mới SDI đầu năm 2026,VinFast,VF e34,2022,10800,Đã qua sử dụng,Mua pin,True,True
19,"đẹp không lỗi, chạy mượt, pin khỏe",VinFast,VF8 Eco AWD,2022,60000,Đã qua sử dụng,Thuê pin,True,True
20,"giảm 70 triệu khi đổi xăng sang điện, tặng 50 triệu tiền mặt, miễn phí bảo hiểm thân vỏ, không đâm đụng, không ngập nước, không bổ máy, không cẩu máy, hồ sơ chuẩn, cam kết bằng văn bản",,VF8 Eco AWD,2023,0,Mới 100%,,True,False
21,"di chuyển linh hoạt trong nội đô, thiết kế nhỏ gọn, dễ dàng luồn lách trong phố đông, đỗ xe 'chuẩn từng milimet'",,Xiaoma,2026,0,Mới 100%,Mua pin,,False
22,"- Khuyến mãi 100tr cho 300 khách hàng đầu tiên | - Mầu sắc: trắng, đỏ, đen, xanh | - Trả góp tối đa 85% | - Lãi suất ưu đãi chỉ từ 0.6%/ tháng, cố định trong 3 năm | - Cung cấp biển số đẹp định danh toàn quốc | - Làm biển Hà Nội cho khách tỉnh",Ford,Mustang Mach-E,2025,0,Mới 100%,Mua pin,,True
23,giao NGAY - BÁN TOÀN QUỐC | + Tặng sạc miễn phí lên đến 3 năm | + Miễn 100% lệ phí trước bạ,VinFast,VF6 Plus,2026,,Đã qua sử dụng,,,False
24,"mua pin, sạc free đến 6.2027, đi ~ 36.000 km, nguyên zin, không tai nạn",VinFast,VF5 Plus,2025,36000,Đã qua sử dụng,Mua pin,True,False
25,"miễn phí 100% phí trước bạ, hỗ trợ vay 80%",,VF7 Eco,,,Đã qua sử dụng,,,False
26,Khuyến Mãi Cực Hot Trong Tháng | Sẵn xe giao ngay | Thuế trước bạ 0% | Hỗ trợ vay 90% giá trị xe,VinFast,Limo Green,2025,0,Mới 100%,Thuê pin,,True
27,"sản xuất 2025, mua pin đi 10800 km",VinFast,VF5 Plus,2025,10800,Đã qua sử dụng,Mua pin,,False
28,"đại lý xe đã qua sử dụng, kiểm tra 139 hạng mục, không đâm đụng, ngập nước, hỗ trợ vay đến 90%",,VF8 Plus AWD,2023,,Đã qua sử dụng,Mua pin,True,False
29,"sở hữu vẻ ngoài khá bắt mắt với những đường nét vuông vắn, cá tính",VinFast,VF6 Plus,2026,0,Mới 100%,,,True
30,VinFast VF9 Eco 2026,,,,,Đã qua sử dụng,null,,True
31,BÁN GẤP – GIÁ SỐC KHÔNG TƯỞNG (đã áp các loại km) | VF8 bản Eco – SX 2022 | Đi chuẩn 6 vạn km,VinFast,VF8 Eco,2022,60000,Đã qua sử dụng,,False,True
32,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, tiêu chuẩn NEDC, công suất động cơ, mô men xoắn, thời gian tăng tốc",,VF5 Plus,2026,0,Mới 100%,Mua pin,,False
33,"mình đang có sẵn, giao ngay, hỗ trợ ra biển vàng",VinFast,Limo Green,2026,0,Mới 100%,Thuê pin,,True
34,"mua pin, tư nhân chính chủ, từ mới biển Hà Nội, đã lên cốp điện",VinFast,VF6 Plus,2024,30000,Đã qua sử dụng,Mua pin,True,True
35,đổi xe xăng sang xe điện giảm trực tiếp tiền mặt,,VF8 Plus AWD,2023,35000,Đã qua sử dụng,Mua pin,,True
36,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",,VF5 Plus,2026,0,Mới 100%,Mua pin,,False
37,VinFast VF9 Eco 2026,,,,,Đã qua sử dụng,null,,True
38,"VinFast VF8 Plus AWD, kích thước tổng thể, chiều dài cơ sở, trang bị như bộ mâm, tay nắm cửa, gương chiếu hậu tích hợp sấy và camera, thông tin hiển thị trên HUD, điều hòa tự động, cửa gió điều hòa cho hàng ghế sau, bơm nhiệt, chức năng kiểm soát chất lượng không khí, lọc không khí cabin HEPA 1.0",,VF8 Plus AWD,2026,0,Mới 100%,,,True
39,"dạng về, odo hơn 1v km mua đứt Pin miễn sạc hết 2028, phiên bản được biệt limited có Adas, lên thảm 6D siêu xịn xò dán fim cách nhiệt cao cấp, bao check mọi nơi theo yêu cầu",VinFast,VF7 S,2024,,Đã qua sử dụng,Mua pin,,True
40,Ưu đãi giám giá 120 triệu + bảo hiểm thân vỏ • Giảm 70 triệu khi đổi xăng sang điện • Tặng 50 triệu tiền mặt,,VF8 Eco AWD,2023,0,Mới 100%,,True,False
41,"+ ̵ ̃ ́ ̣̆ ̣ |Ngoại thất Đỏ, nội thất Đen | Odo: 4000 km",Mercedes Benz,EQS 450 Plus,2023,4000,Đã qua sử dụng,,,True
42,THÔNG SỐ KỸ THUẬT CƠ BẢN Ô TÔ VAN VINFAST EC VAN,,EC Van,2026,0,Mới 100%,Mua pin,,False
43,"Khuyến Mãi Cực Hot Trong Tháng, Sẵn xe giao ngay, Thuế trước bạ 0%",VinFast,Limo Green,2025,0,Mới 100%,,,False
44,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",,VF5 Plus,2026,0,Mới 100%,Mua pin,,False
45,"Ford Mustang Mach-E Premium AWD, 550km quãng đường di chuyển, 88 kWh dung lượng pin",Ford,Mustang Mach-E,2025,0,Mới 100%,Mua pin,,False
46,"Excellente qualité, longue autonomie, équipements haut de gamme",Mercedes-Benz,EQS 580 4Matic,2023,31000,Đã qua sử dụng,,True,True
47,dky 2025 thuê pin đã lên gần 3 chục tiền đồ độ lăn bánh có 9000km,,VF3 Plus,2024,9000,Đã qua sử dụng,Thuê pin,,True
48,"không chỉ là xe, mà là đẳng cấp của người dẫn đầu",VinFast,VF9 Plus,2026,0,Mới 100%,Pin catl phiên bản mới,,True
49,bán vf3 sx 2025 siêu mới màu trắng,VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,True,False
50,đại lý xe đã qua sử dụng | sơn zin 100% | nội thất mới 100%,VinFast,VF8 S,2024,24,Đã qua sử dụng,Mua pin,True,False
51,THÔNG SỐ KỸ THUẬT CƠ BẢN Ô TÔ VAN VINFAST EC VAN,,EC Van,2026,0,Mới 100%,Mua pin,,False
52,ODO 30 KM! | Nhập khẩu nguyên chiếc | Xe mới 100% chưa qua sử dụng,Mercedes-Benz,EQB 250,2023,0,Mới 100%,,True,False
53,AUTO CHỐT HÀ NỘI MỞ BÁN | Nhập Team Nguyên Xe Mộc Hongqi E-HS9 Premium 6S sản xuất 2022 1 chủ từ đầu chạy siêu lướt 3vạn2km,Hongqi,E-HS9 Premium,2022,32000,Đã qua sử dụng,,,False
54,"mua pin, đi được 1.5 vạn, xe độ",VinFast,VF3 Plus,2025,15000,Đã qua sử dụng,Mua pin,,True
55,#Hongqi E-HS9 Premium 6S sản xuất 2022 1 chủ từ đầu chạy siêu lướt 3v2 km,Hongqi,E-HS9 Premium,2022,,Đã qua sử dụng,Mua pin,False,False
56,"mua pin, odo 1v8 km, bản 7 ghế",VinFast,VF9 Plus,2025,10800,Đã qua sử dụng,Mua pin,,True
57,"thuế trước bạ 0% tới 2027 | Xe có sẵn, giao ngay | Quảng đường di chuyên lên tới 700km. | Bảo ha̅nh 3 năm, Bâo ha̅nh pin 10 năm.",Mercedes Benz,EQS 580 4Matic,2023,,Đã qua sử dụng,Thuê pin,,False
58,đổi xe xăng sang xe điện giảm trực tiếp tiền mặt,,VF8 Plus AWD,2023,50000,Đã qua sử dụng,Mua pin,,True
59,"trang bị động cơ 100kw, pin dung lượng 60kwh, trọng lượng nhẹ hơn, quãng đường di chuyển tối đa 399 km",,,2026,0,Mới 100%,Mua pin,,False
60,"GIÁO XE NGAY, ĐỦ MÀU LỰA CHỌN! | TRẢ TRƯỚC CHỈ TỪ 299 TRIỆU | FREE sạc tới 2027",,VF9,,,Đã qua sử dụng,Mua pin,False,False
61,"sở hữu vẻ ngoài khá bắt mắt với những đường nét vuông vắn, cá tính",VinFast,VF6 Plus,2026,0,Mới 100%,,,True
62,"AUTO CHỐT HÀ NỘI MỞ BÁN, Nhập Team Nguyên Xe Mộc Porscher Taycan sản xuất 2021",Porsche,Taycan,2021,21000,Đã qua sử dụng,,False,True
63,xem xét thông số kỹ thuật và chính sách ưu đãi,VinFast,VF9 Eco,,0,Mới 100%,Mua pin,,True
