base_model,battery_kwh,range_km,power_hp
Atto 3,60.4,480.0,201.0
BINGO,37.9,410.0,67.0
Bingo 333km,31.9,333.0,67.0
Dolphin,44.9,405.0,94.0
E34 xanh,42.0,318.6,147.0
EC Van,17.0,150.0,41.0
Herio Green,37.2,326.0,136.0
Limo Green,60.1,450.0,204.0
Limogreen,60.1,450.0,204.0
M6,55.4,420.0,161.0
MERCEDES,66.5,422.0,190.0
Minio Green,14.7,170.0,27.0
Mới 2025,37.2,326.4,134.0
NERIO GREEN,41.9,318.6,150.0
Nerio Green,41.9,318.6,150.0
Seal,61.4,460.0,201.0
Sẵn xe,59.6,399.0,134.0
VF 3,18.6,210.0,43.0
VF e34,42.0,318.6,147.0
VF3,18.6,210.0,43.0
VF5,37.2,326.4,134.0
VF6,59.6,381.0,201.0
VF7,75.3,431.0,349.0
VF8,82.0,420.0,349.0
VF9,92.0,480.0,402.0
VFe34 2022,42.0,318.6,147.0
VFe34 2023,42.0,318.6,147.0
VFe34 2025,42.0,318.6,147.0
🚗 VFe34,42.0,318.6,147.0
